id;student_photo;student_photo_content_type;student_photo_link;student_id;first_name;gender;last_name;roll_number;phone_number;blood_group;date_of_birth;start_date;address_line_1;address_line_2;nick_name;father_name;mother_name;email;admission_date;reg_number;end_date;create_date;last_modified;cancel_date
1;../fake-data/blob/hipster.png;image/png;Incredible Incredible;Bedfordshire Concrete International;Amya;FEMALE;Gerlach;Checking;Islands overriding communities;AB_Pos;2021-05-03T23:16:50;2021-05-04;Secured;motivating Inlet;Oklahoma solutions Idaho;Tuna executive Benin;software Frozen;Dan69@hotmail.com;2021-05-04;Bike Officer Directives;2021-05-03;2021-05-04;2021-05-03;2021-05-04
2;../fake-data/blob/hipster.png;image/png;index;Shoes cross-media sky;Raul;MALE;Wolff;Tasty;Coves open reintermediate;O_Pos;2021-05-04T04:37:37;2021-05-03;Gloves concept bypass;National;Pass exuding Borders;Dinar card;Supervisor Virtual;Norris.Haag@hotmail.com;2021-05-03;bypassing Arab visualize;2021-05-03;2021-05-04;2021-05-04;2021-05-03
3;../fake-data/blob/hipster.png;image/png;Focused;Ergonomic Soft;Camren;MALE;Grimes;systematic Plastic;Incredible hack;A_Pos;2021-05-04T08:02:33;2021-05-04;Awesome modular;Keyboard;Loan Mall;Incredible Unit Rhode;Metal quantify;Arnold.Prosacco8@yahoo.com;2021-05-03;extend next;2021-05-04;2021-05-03;2021-05-03;2021-05-04
4;../fake-data/blob/hipster.png;image/png;Grocery Shirt input;Handcrafted;Lorenza;FEMALE;Schamberger;Ergonomic Synergized;deposit;O_Pos;2021-05-03T14:05:39;2021-05-04;transmit;Credit Hungary Fresh;open-source Computer;parse;copying Hat;Misael96@gmail.com;2021-05-04;schemas;2021-05-04;2021-05-04;2021-05-04;2021-05-04
5;../fake-data/blob/hipster.png;image/png;Investment invoice Rubber;archive Ergonomic Bike;Aglae;WONT_DECLARE;Roob;Automotive;markets back-end Communications;B_Neg;2021-05-03T15:32:50;2021-05-03;incremental;Metal;Oklahoma alarm;1080p Forward Mexico;invoice;Tate.Walker81@gmail.com;2021-05-04;Account Cambridgeshire Tasty;2021-05-03;2021-05-04;2021-05-04;2021-05-04
6;../fake-data/blob/hipster.png;image/png;primary;index bluetooth Quality-focused;Sydney;FEMALE;Gislason;Future;Bedfordshire internet UIC-Franc;AB_Neg;2021-05-03T21:22:09;2021-05-03;state;Computer turquoise Planner;Engineer;Computer Sleek Clothing;Arkansas;Grady.OKeefe50@hotmail.com;2021-05-03;upward-trending;2021-05-04;2021-05-04;2021-05-03;2021-05-04
7;../fake-data/blob/hipster.png;image/png;Checking Centralized Croatian;Program neutral program;Walton;FEMALE;Streich;Utah payment;International PCI;DO_NOT_KNOW;2021-05-03T23:53:49;2021-05-04;Won Applications;granular Mouse Locks;Uzbekistan;Account Drive lavender;Islands Gloves Research;Jamison.MacGyver@yahoo.com;2021-05-04;Nebraska;2021-05-04;2021-05-04;2021-05-04;2021-05-03
8;../fake-data/blob/hipster.png;image/png;ADP blockchains;enterprise;Alayna;OTHER;Morissette;navigate;Bacon;A_Pos;2021-05-04T06:04:10;2021-05-04;hacking;Massachusetts Dynamic;Peso Infrastructure;Buckinghamshire explicit;Aruban;Otto_Rolfson@yahoo.com;2021-05-03;Coordinator Plastic synthesize;2021-05-03;2021-05-04;2021-05-03;2021-05-04
9;../fake-data/blob/hipster.png;image/png;infrastructures;alarm;Hildegard;MALE;Boyer;invoice;archive Applications Ghana;A_Pos;2021-05-03T18:08:37;2021-05-04;wireless Account;Account viral;Plastic;synthesizing withdrawal Parks;magenta;Anibal14@gmail.com;2021-05-03;XML internet input;2021-05-03;2021-05-03;2021-05-04;2021-05-03
10;../fake-data/blob/hipster.png;image/png;Licensed payment;Rustic override;Pink;MALE;Moen;Licensed Fundamental;Bike monitor;DO_NOT_KNOW;2021-05-04T08:19:05;2021-05-04;Prairie;deposit violet Computers;deliver synergistic;Marketing auxiliary India;PCI;Colten.Hettinger96@hotmail.com;2021-05-04;TCP Account Georgia;2021-05-04;2021-05-04;2021-05-04;2021-05-04
